"Source:","D:\OLD COMPUTER\OLD DESKTOP\design\szinti\szinti_schematic\szinti.kicad_sch"
"Date:","2023. 12. 26. 15:41:58"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","281"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","4","C1, C4, C7, C10","100p","Device:C","","~","","",""
"2","8","C2, C3, C5, C6, C8, C9, C11, C12","10n","Device:C","","~","","",""
"3","1","C13","100uF","Device:C","","~","","",""
"4","1","C14","100u","Device:C","","~","","",""
"5","2","C15, C16","22pF","Device:C","","~","","",""
"6","1","D1","D","Device:D","","~","","D","1=K 2=A"
"7","10","Q1, Q2, Q5, Q6, Q9, Q10, Q13, Q14, Q17, Q18","2N2219","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-39-3","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF","","",""
"8","8","Q3, Q4, Q7, Q8, Q11, Q12, Q15, Q16","BF244A","Transistor_FET:BF244A","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/BF244x.pdf","","",""
"9","1","Q19","Q_NJFET_DGS","Device:Q_NJFET_DGS","","~","","",""
"10","1","Q20","Q_NMOS_DGS","Device:Q_NMOS_DGS","","~","","",""
"11","1","Q21","Q_NMOS_SDG","Device:Q_NMOS_SDG","","~","","",""
"12","1","Q22","Q_PMOS_DGS","Device:Q_PMOS_DGS","","~","","",""
"13","13","R1, R12, R34, R52, R74, R123, R126, R127, R129, R131, R133, R135, R137","2k","Device:R","","~","","",""
"14","50","R2, R3, R5, R6, R7, R9, R10, R15, R17, R19, R21, R22, R23, R24, R25, R26, R29, R31, R32, R37, R39, R41, R43, R44, R45, R46, R47, R48, R55, R57, R59, R61, R62, R63, R64, R65, R66, R69, R71, R72, R77, R79, R81, R83, R84, R85, R86, R87, R88, R105","10k","Device:R","","~","","",""
"15","4","R4, R8, R30, R70","33k","Device:R","","~","","",""
"16","6","R11, R33, R51, R73, R106, R107","100k","Device:R","","~","","",""
"17","4","R13, R35, R53, R75","390R","Device:R","","~","","",""
"18","7","R14, R36, R54, R76, R109, R118, R124","1M","Device:R","","~","","",""
"19","4","R16, R38, R56, R78","6.667k","Device:R","","~","","",""
"20","16","R18, R20, R27, R28, R40, R42, R49, R50, R58, R60, R67, R68, R80, R82, R89, R90","5k","Device:R","","~","","",""
"21","13","R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103","R","Device:R","","~","","",""
"22","13","R104, R112, R113, R117, R119, R121, R125, R128, R130, R132, R134, R136, R138","1k","Device:R","","~","","",""
"23","1","R108","100","Device:R","","~","","",""
"24","2","R110, R120","POT.","Device:R","","~","","",""
"25","1","R111","POT","Device:R","","~","","",""
"26","2","R114, R116","3k","Device:R","","~","","",""
"27","1","R115","1,5k","Device:R","","~","","",""
"28","1","R122","2.8k","Device:R","","~","","",""
"29","4","RV1, RV6, RV11, RV16","100R","Device:R_Potentiometer_Trim","","~","","",""
"30","8","RV2, RV3, RV7, RV8, RV12, RV13, RV17, RV18","1k","Device:R_Potentiometer_Trim","","~","","",""
"31","8","RV4, RV5, RV9, RV10, RV14, RV15, RV19, RV20","10k","Device:R_Potentiometer_Trim","","~","","",""
"32","1","RV21","R","Device:R_Potentiometer_Trim","","~","","",""
"33","1","RV22","R_POT_TRIM","szinti-rescue:R_POT_TRIM-Device","","","","",""
"34","4","SW1, SW2, SW3, SW4","SW_SP3T","Switch:SW_SP3T","","~","","",""
"35","12","SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16","SW_SPST","Switch:SW_SPST","","~","","",""
"36","1","SW17","SW_SPDT","Switch:SW_SPDT","","~","","",""
"37","12","U1, U2, U3, U13, U14, U15, U25, U26, U27, U37, U38, U39","~","szinti-rescue:Opamp_Quad_Generic-Device","","","","",""
"38","20","U4, U7, U8, U11, U12, U16, U19, U20, U23, U24, U28, U31, U32, U35, U36, U40, U43, U44, U47, U48","Opamp_Quad_Generic","szinti-rescue:Opamp_Quad_Generic-Device","","","","",""
"39","8","U5, U6, U17, U18, U29, U30, U41, U42","-Vcc - +Vcc","szinti-rescue:Opamp_Quad_Generic-Device","","","","",""
"40","8","U9, U10, U21, U22, U33, U34, U45, U46","0 - +Vcc","szinti-rescue:Opamp_Quad_Generic-Device","","","","",""
"41","1","U49","Opamp_Dual_Generic","szinti-rescue:Opamp_Dual_Generic-Device","","","","",""
"42","4","U50, U51, U52, U53","NCS20071XV","Amplifier_Operational:NCS20071XV","Package_TO_SOT_SMD:SOT-553","https://www.onsemi.com/pub/Collateral/NCS20071-D.PDF","","",""
"43","1","U54","74HC02","74xx:74HC02","","http://www.ti.com/lit/gpn/sn74hc02","","",""
"44","1","U55","4025","4xxx:4025","","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf","","",""
"45","6","U56, U57, U58, U59, U60, U61","74LS78","74xx:74LS78","","http://www.ti.com/lit/gpn/sn74LS78","","",""
"46","1","U62","74AHCT04","74xx:74AHCT04","","https://assets.nexperia.com/documents/data-sheet/74AHC_AHCT04.pdf","","",""
"47","2","U63, U64","Opamp_Quad","Device:Opamp_Quad","","~","","",""
"48","1","Y1","Crystal","Device:Crystal","","~","","",""
